SampleID,pig,sample_type,bone_type,date_collected,Year,Season,date_decontaminated,date_extracted,date_qubit,qubit_conc,stock_conc,DNA_sample_vol,H20_vol,date_pcr,date_diluted,date_submitted
sfk_lg_0024,4,internal_microbiome,rib,7/26/2019,2,Summer,6/22/2020,6/23/2020,6/23/2020,22.7,4.54,2.2,7.8,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0029,5,external_microbiome,rib,7/26/2019,2,Summer,6/24/2020,6/25/2020,6/25/2020,71.1,14.2,1.4,18.6,6/26/2020,6/26/2020,NA
sfk_lg_0034,5,internal_microbiome,rib,7/26/2019,2,Summer,6/24/2020,6/25/2020,6/25/2020,5.76,1.15,8.7,1.3,6/26/2020,7/15/2020,8/14/2020
sfk_lg_0055,3,external_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/3/2020,7/3/2020,21.1,4.22,2.4,7.6,7/4/2020,7/15/2020,NA
sfk_lg_0060,3,internal_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/3/2020,7/3/2020,32.1,6.42,1.6,8.4,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0069,2,external_microbiome,rib,7/26/2019,2,Summer,7/6/2020,7/7/2020,7/7/2020,82.9,16.6,1.2,18.8,7/14/2020,7/13/2020,NA
sfk_lg_0073,2,internal_microbiome,rib,7/26/2019,2,Summer,7/6/2020,7/7/2020,7/7/2020,32.6,6.52,1.5,8.5,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0075,3,external_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/7/2020,7/7/2020,23.8,4.76,2.1,7.9,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0078,3,external_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/3/2020,7/7/2020,34.6,6.92,1.4,8.6,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0090,1,external_microbiome,rib,7/26/2019,2,Summer,6/2/2020,7/11/2020,7/11/2020,64.8,13,1.5,18.5,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0092,4,external_microbiome,rib,7/26/2019,2,Summer,6/22/2020,7/13/2020,7/13/2020,100,20,1,19,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0094,5,external_microbiome,rib,7/26/2019,2,Summer,6/24/2020,7/13/2020,7/13/2020,85.2,17,1.2,18.8,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0099,2,external_microbiome,rib,7/26/2019,2,Summer,7/6/2020,7/13/2020,7/13/2020,65.1,13,1.5,18.5,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0030,5,external_microbiome,rib,10/26/2019,2,Fall,6/24/2020,6/25/2020,6/25/2020,39.6,7.92,1.3,8.7,6/26/2020,7/15/2020,8/14/2020
sfk_lg_0035,5,internal_microbiome,rib,10/26/2019,2,Fall,6/24/2020,6/25/2020,6/25/2020,7.03,1.41,7.1,2.9,6/26/2020,7/15/2020,8/14/2020
sfk_lg_0044,1,external_microbiome,rib,10/26/2019,2,Fall,6/27/2020,6/29/2020,6/29/2020,90.3,18.1,1.1,18.9,7/4/2020,7/4/2020,8/14/2020
sfk_lg_0049,1,internal_microbiome,rib,10/26/2019,2,Fall,6/27/2020,6/29/2020,6/29/2020,33.1,6.62,1.5,8.5,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0056,3,external_microbiome,rib,10/26/2019,2,Fall,7/1/2020,7/3/2020,7/3/2020,52.8,10.6,1.9,18.1,7/4/2020,7/4/2020,NA
sfk_lg_0061,3,internal_microbiome,rib,10/26/2019,2,Fall,7/1/2020,7/3/2020,7/3/2020,21.3,4.26,2.3,7.7,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0068,2,external_microbiome,rib,10/26/2019,2,Fall,7/6/2020,7/7/2020,7/7/2020,42.5,8.5,2.4,17.6,7/14/2020,7/13/2020,NA
sfk_lg_0072,2,internal_microbiome,rib,10/26/2019,2,Fall,7/6/2020,7/7/2020,7/7/2020,42.5,8.5,2.4,17.6,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0081,4,external_microbiome,rib,10/26/2019,2,Fall,7/10/2020,7/11/2020,7/11/2020,32.2,6.44,1.6,8.4,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0085,4,internal_microbiome,rib,10/26/2019,2,Fall,7/10/2020,7/11/2020,7/11/2020,11.9,2.38,4.2,5.8,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0097,3,external_microbiome,rib,10/26/2019,2,Fall,7/1/2020,7/13/2020,7/13/2020,53.3,10.7,0.9,9.1,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0098,2,external_microbiome,rib,10/26/2019,2,Fall,7/6/2020,7/13/2020,7/13/2020,38.7,7.74,1.3,8.7,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0031,3,external_microbiome,vertebrate,1/24/2020,2,Winter,6/24/2020,6/25/2020,6/25/2020,45.8,9.16,1.1,8.9,6/26/2020,7/15/2020,NA
sfk_lg_0036,3,internal_microbiome,vertebrate,1/24/2020,2,Winter,6/24/2020,6/25/2020,6/25/2020,14.3,2.86,3.5,6.5,6/26/2020,7/15/2020,8/14/2020
sfk_lg_0045,5,external_microbiome,rib,1/24/2020,2,Winter,6/27/2020,6/29/2020,6/29/2020,78,15.6,1.3,18.7,7/4/2020,7/4/2020,NA
sfk_lg_0050,5,internal_microbiome,rib,1/24/2020,2,Winter,6/27/2020,6/29/2020,6/29/2020,21,4.2,2.4,7.6,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0057,1,external_microbiome,rib,1/24/2020,2,Winter,7/1/2020,7/3/2020,7/3/2020,91.8,18.4,1.1,18.9,7/4/2020,7/4/2020,8/14/2020
sfk_lg_0062,1,internal_microbiome,rib,1/24/2020,2,Winter,7/1/2020,7/3/2020,7/3/2020,24.4,4.88,2,8,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0070,4,external_microbiome,rib,1/24/2020,2,Winter,7/6/2020,7/7/2020,7/7/2020,25.5,5.1,2,8,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0074,4,internal_microbiome,rib,1/24/2020,2,Winter,7/6/2020,7/7/2020,7/7/2020,26.2,5.24,1.9,8.1,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0082,2,external_microbiome,rib,1/24/2020,2,Winter,7/10/2020,7/11/2020,7/11/2020,71.2,14.2,1.4,18.6,7/14/2020,7/13/2020,NA
sfk_lg_0086,2,internal_microbiome,rib,1/24/2020,2,Winter,7/10/2020,7/11/2020,7/11/2020,34.3,6.86,1.5,8.5,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0095,3,external_microbiome,vertebrate,1/24/2020,2,Winter,6/24/2020,7/13/2020,7/13/2020,48.8,9.76,1,9,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0096,5,external_microbiome,rib,1/24/2020,2,Winter,6/27/2020,7/13/2020,7/13/2020,69.6,13.9,1.4,18.6,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0100,2,external_microbiome,rib,1/24/2020,2,Winter,7/10/2020,7/13/2020,7/13/2020,59.2,11.8,1.7,18.3,7/14/2020,7/13/2020,8/14/2020
sfk_lg_0011,0,positive_control,buccal,6/3/2020,0,0,0,6/3/2020,6/3/2020,126,25.2,2,48,6/4/2020,7/15/2020,8/14/2020
sfk_lg_0012,0,negative_control,extraction_neg_con,6/3/2020,0,0,0,6/3/2020,6/3/2020,0,0,10,0,6/4/2020,7/15/2020,8/14/2020
sfk_lg_0013,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),6/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/4/2020,NA,NA
sfk_lg_0014,0,negative_control,pcr_negative,6/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/4/2020,NA,NA
sfk_lg_0025,0,positive_control,buccal,6/23/2020,0,0,0,6/23/2020,6/23/2020,59.8,12,1.7,18.3,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0026,0,negative_control,extraction_neg_con,6/23/2020,0,0,0,6/23/2020,6/23/2020,0,0,10,0,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0037,0,positive_control,buccal,6/23/2020,0,0,0,6/25/2020,6/25/2020,33.1,6.62,1.5,8.5,6/26/2020,7/15/2020,8/14/2020
sfk_lg_0038,0,negative_control,extraction_neg_con,6/25/2020,0,0,0,6/25/2020,6/25/2020,0,0,10,0,6/26/2020,7/15/2020,8/14/2020
sfk_lg_0039,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),6/26/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/26/2020,NA,NA
sfk_lg_0040,0,negative_control,pcr_negative,6/26/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/26/2020,NA,NA
sfk_lg_0051,0,positive_control,buccal,6/29/2020,0,0,0,6/29/2020,6/29/2020,79.4,15.9,1.3,18.7,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0052,0,negative_control,extraction_neg_con,6/29/2020,0,0,0,6/29/2020,6/29/2020,0,0,10,0,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0063,0,positive_control,buccal,6/29/2020,0,0,0,7/3/2020,7/3/2020,74.1,14.8,1.4,18.6,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0064,0,negative_control,extraction_neg_con,7/3/2020,0,0,0,7/3/2020,7/3/2020,0,0,10,0,7/4/2020,7/15/2020,8/14/2020
sfk_lg_0065,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),7/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/4/2020,NA,NA
sfk_lg_0066,0,negative_control,pcr_negative,7/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/4/2020,NA,NA
sfk_lg_0076,0,positive_control,buccal,7/7/2020,0,0,0,7/7/2020,7/7/2020,24.5,4.9,2,8,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0077,0,negative_control,extraction_neg_con,7/7/2020,0,0,0,7/7/2020,7/7/2020,0,0,10,0,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0087,0,positive_control,buccal,7/7/2020,0,0,0,7/11/2020,7/11/2020,45.5,9.1,1.1,8.9,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0088,0,negative_control,extraction_neg_con,7/11/2020,0,0,0,7/11/2020,7/11/2020,0,0,10,0,7/14/2020,7/15/2020,8/14/2020
sfk_lg_0101,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),7/14/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/14/2020,NA,NA
sfk_lg_0102,0,negative_control,pcr_negative,7/14/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/14/2020,NA,NA
