Community,TimePoint_1,TimePoint_2,Time_Compare,Pig,Compare,Sample Type,Contribution
Microbiome,5,6,5.6,3,Comp5,Internal,0.28504
Microbiome,5,7,5.7,3,Other5,Internal,0.48997
Microbiome,5,1,5.1,4,Other5,Internal,0.36167
Microbiome,5,2,5.2,4,Other5,Internal,0.30985
Microbiome,5,4,5.4,4,Other5,Internal,0.53039
Microbiome,5,6,5.6,4,Comp5,Internal,0.26066
Microbiome,5,7,5.7,4,Other5,Internal,0.03700
Microbiome,5,1,5.1,5,Other5,Internal,0.02845
Microbiome,5,2,5.2,5,Other5,Internal,0.12880
Microbiome,5,4,5.4,5,Other5,Internal,0.26824
Microbiome,5,6,5.6,5,Comp5,Internal,0.25124
Microbiome,5,7,5.7,5,Other5,Internal,0.11937
Microbiome,6,1,6.1,1,Other6,Internal,0.02161
Microbiome,6,2,6.2,1,Other6,Internal,0.20812
Microbiome,6,3,6.3,1,Other6,Internal,0.10345
Microbiome,6,4,6.4,1,Other6,Internal,0.15534
Microbiome,6,5,6.5,1,Other6,Internal,0.25823
Microbiome,6,7,6.7,1,Comp6,Internal,0.34783
Microbiome,6,1,6.1,2,Other6,Internal,0.20147
Microbiome,6,2,6.2,2,Other6,Internal,0.34313
Microbiome,6,3,6.3,2,Other6,Internal,0.29113
Microbiome,6,4,6.4,2,Other6,Internal,0.41951
Microbiome,6,5,6.5,2,Other6,Internal,0.47258
Microbiome,6,7,6.7,2,Comp6,Internal,0.00898
Microbiome,6,1,6.1,3,Other6,Internal,0.44364
Microbiome,6,2,6.2,3,Other6,Internal,0.31633
Microbiome,6,3,6.3,3,Other6,Internal,0.36498
Microbiome,6,4,6.4,3,Other6,Internal,0.43334
Microbiome,6,5,6.5,3,Other6,Internal,0.43640
Microbiome,6,7,6.7,3,Comp6,Internal,0.72724
Microbiome,6,1,6.1,4,Other6,Internal,0.22087
Microbiome,6,2,6.2,4,Other6,Internal,0.10319
Microbiome,6,4,6.4,4,Other6,Internal,0.10012
Microbiome,6,5,6.5,4,Other6,Internal,0.27009
Microbiome,6,7,6.7,4,Comp6,Internal,0.30523
Microbiome,6,1,6.1,5,Other6,Internal,0.03641
Microbiome,6,2,6.2,5,Other6,Internal,0.11425
Microbiome,6,4,6.4,5,Other6,Internal,0.00882
Microbiome,6,5,6.5,5,Other6,Internal,0.08124
Microbiome,6,7,6.7,5,Comp6,Internal,0.38436
Microbiome,1,2,1.2,1,Comp1,External,0.09019
Microbiome,1,3,1.3,1,Other1,External,0.02163
Microbiome,1,4,1.4,1,Other1,External,0.05384
Microbiome,1,5,1.5,1,Other1,External,0.01837
Microbiome,1,6,1.6,1,Other1,External,0.01249
Microbiome,1,7,1.7,1,Other1,External,0.00746
Microbiome,1,2,1.2,2,Comp1,External,0.00024
Microbiome,1,3,1.3,2,Other1,External,0.00004
Microbiome,1,4,1.4,2,Other1,External,0.00000
Microbiome,1,6,1.6,2,Other1,External,0.00000
Microbiome,1,2,1.2,3,Comp1,External,0.17326
Microbiome,1,3,1.3,3,Other1,External,0.20860
Microbiome,1,4,1.4,3,Other1,External,0.00751
Microbiome,1,6,1.6,3,Other1,External,0.00000
Microbiome,1,7,1.7,3,Other1,External,0.00092
Microbiome,1,2,1.2,4,Comp1,External,0.00133
Microbiome,1,5,1.5,4,Other1,External,0.00023
Microbiome,1,6,1.6,4,Other1,External,0.00000
Microbiome,1,7,1.7,4,Other1,External,0.00002
Microbiome,1,2,1.2,5,Comp1,External,0.04310
Microbiome,1,4,1.4,5,Other1,External,0.01929
Microbiome,1,5,1.5,5,Other1,External,0.00759
Microbiome,1,6,1.6,5,Other1,External,0.00000
Microbiome,1,7,1.7,5,Other1,External,0.00000
Microbiome,2,1,2.1,1,Other2,External,0.41724
Microbiome,2,3,2.3,1,Comp2,External,0.09643
Microbiome,2,4,2.4,1,Other2,External,0.07374
Microbiome,2,5,2.5,1,Other2,External,0.01995
Microbiome,2,6,2.6,1,Other2,External,0.00140
Microbiome,2,7,2.7,1,Other2,External,0.00594
Microbiome,2,1,2.1,2,Other2,External,0.00000
Microbiome,2,3,2.3,2,Comp2,External,0.20934
Microbiome,2,4,2.4,2,Other2,External,0.24651
Microbiome,2,6,2.6,2,Other2,External,0.16446
Microbiome,2,1,2.1,3,Other2,External,0.31503
Microbiome,2,3,2.3,3,Comp2,External,0.31424
Microbiome,2,4,2.4,3,Other2,External,0.12459
Microbiome,2,6,2.6,3,Other2,External,0.05949
Microbiome,2,7,2.7,3,Other2,External,0.14112
Microbiome,3,1,3.1,1,Other3,External,0.03752
Microbiome,3,2,3.2,1,Other3,External,0.00665
Microbiome,3,4,3.4,1,Comp3,External,0.29909
