SampleID,pig,sample_type,bone_type,date_collected,Year,Season,date_decontaminated,date_extracted,date_qubit,qubit_conc,stock_conc,DNA_sample_vol,H20_vol,date_pcr,date_diluted,date_submitted
SFK037,0,positive_control,buccal,6/23/2020,0,0,0,6/25/2020,6/25/2020,33.1,6.62,1.5,8.5,6/26/2020,7/15/2020,8/14/2020
SFK038,0,negative_control,extraction_neg_con,6/25/2020,0,0,0,6/25/2020,6/25/2020,0,0,10,0,6/26/2020,7/15/2020,8/14/2020
SFK039,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),6/26/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/26/2020,NA,NA
SFK040,0,negative_control,pcr_negative,6/26/2020,0,0,0,NA,NA,NA,NA,NA,NA,6/26/2020,NA,NA
SFK041,4,external_microbiome,rib,8/20/2018,1,Summer,6/27/2020,6/29/2020,6/29/2020,6.34,1.27,7.9,2.1,7/4/2020,7/15/2020,8/14/2020
SFK042,5,external_microbiome,rib,10/25/2018,1,Fall,6/27/2020,6/29/2020,6/29/2020,52.2,10.4,1,9,7/4/2020,7/15/2020,8/14/2020
SFK043,2,external_microbiome,rib,4/23/2019,1,Spring,6/27/2020,6/29/2020,6/29/2020,68.3,13.7,1.5,18.5,7/4/2020,7/4/2020,8/14/2020
SFK044,1,external_microbiome,rib,10/26/2019,2,Fall,6/27/2020,6/29/2020,6/29/2020,90.3,18.1,1.1,18.9,7/4/2020,7/4/2020,8/14/2020
SFK045,5,external_microbiome,rib,1/24/2020,2,Winter,6/27/2020,6/29/2020,6/29/2020,78,15.6,1.3,18.7,7/4/2020,7/4/2020,NA
SFK046,4,internal_microbiome,rib,8/20/2018,1,Summer,6/27/2020,6/29/2020,6/29/2020,2.35,0.47,10,0,7/4/2020,7/15/2020,8/14/2020
SFK047,5,internal_microbiome,rib,10/25/2018,1,Fall,6/27/2020,6/29/2020,6/29/2020,8.85,1.77,5.6,4.4,7/4/2020,7/15/2020,8/14/2020
SFK048,2,internal_microbiome,rib,4/23/2019,1,Spring,6/27/2020,6/29/2020,6/29/2020,6.01,1.2,8.3,1.7,7/4/2020,7/15/2020,8/14/2020
SFK049,1,internal_microbiome,rib,10/26/2019,2,Fall,6/27/2020,6/29/2020,6/29/2020,33.1,6.62,1.5,8.5,7/4/2020,7/15/2020,8/14/2020
SFK050,5,internal_microbiome,rib,1/24/2020,2,Winter,6/27/2020,6/29/2020,6/29/2020,21,4.2,2.4,7.6,7/4/2020,7/15/2020,8/14/2020
SFK051,0,positive_control,buccal,6/29/2020,0,0,0,6/29/2020,6/29/2020,79.4,15.9,1.3,18.7,7/4/2020,7/15/2020,8/14/2020
SFK052,0,negative_control,extraction_neg_con,6/29/2020,0,0,0,6/29/2020,6/29/2020,0,0,10,0,7/4/2020,7/15/2020,8/14/2020
SFK053,4,external_microbiome,rib,10/25/2018,1,Fall,7/1/2020,7/3/2020,7/3/2020,24.9,4.98,2,8,7/4/2020,7/15/2020,8/14/2020
SFK054,5,external_microbiome,rib,4/23/2019,1,Spring,7/1/2020,7/3/2020,7/3/2020,35.9,7.18,1.4,8.6,7/4/2020,7/15/2020,8/14/2020
SFK055,3,external_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/3/2020,7/3/2020,21.1,4.22,2.4,7.6,7/4/2020,7/15/2020,NA
SFK056,3,external_microbiome,rib,10/26/2019,2,Fall,7/1/2020,7/3/2020,7/3/2020,52.8,10.6,1.9,18.1,7/4/2020,7/4/2020,NA
SFK057,1,external_microbiome,rib,1/24/2020,2,Winter,7/1/2020,7/3/2020,7/3/2020,91.8,18.4,1.1,18.9,7/4/2020,7/4/2020,8/14/2020
SFK058,4,internal_microbiome,rib,10/25/2018,1,Fall,7/1/2020,7/3/2020,7/3/2020,6.97,1.39,7.2,2.8,7/4/2020,7/15/2020,8/14/2020
SFK059,5,internal_microbiome,rib,4/23/2019,1,Spring,7/1/2020,7/3/2020,7/3/2020,21.3,4.26,2.3,7.7,7/4/2020,7/15/2020,8/14/2020
SFK060,3,internal_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/3/2020,7/3/2020,32.1,6.42,1.6,8.4,7/4/2020,7/15/2020,8/14/2020
SFK061,3,internal_microbiome,rib,10/26/2019,2,Fall,7/1/2020,7/3/2020,7/3/2020,21.3,4.26,2.3,7.7,7/4/2020,7/15/2020,8/14/2020
SFK062,1,internal_microbiome,rib,1/24/2020,2,Winter,7/1/2020,7/3/2020,7/3/2020,24.4,4.88,2,8,7/4/2020,7/15/2020,8/14/2020
SFK063,0,positive_control,buccal,6/29/2020,0,0,0,7/3/2020,7/3/2020,74.1,14.8,1.4,18.6,7/4/2020,7/15/2020,8/14/2020
SFK064,0,negative_control,extraction_neg_con,7/3/2020,0,0,0,7/3/2020,7/3/2020,0,0,10,0,7/4/2020,7/15/2020,8/14/2020
SFK065,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),7/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/4/2020,NA,NA
SFK066,0,negative_control,pcr_negative,7/4/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/4/2020,NA,NA
SFK067,2,external_microbiome,rib,8/20/2018,1,Summer,7/6/2020,7/7/2020,7/7/2020,5.82,1.16,8.6,1.4,7/14/2020,7/15/2020,8/14/2020
SFK068,2,external_microbiome,rib,10/26/2019,2,Fall,7/6/2020,7/7/2020,7/7/2020,42.5,8.5,2.4,17.6,7/14/2020,7/13/2020,NA
SFK069,2,external_microbiome,rib,7/26/2019,2,Summer,7/6/2020,7/7/2020,7/7/2020,82.9,16.6,1.2,18.8,7/14/2020,7/13/2020,NA
SFK070,4,external_microbiome,rib,1/24/2020,2,Winter,7/6/2020,7/7/2020,7/7/2020,25.5,5.1,2,8,7/14/2020,7/15/2020,8/14/2020
SFK071,2,internal_microbiome,rib,8/20/2018,1,Summer,7/6/2020,7/7/2020,7/7/2020,2.1,0.42,10,0,7/14/2020,7/15/2020,8/14/2020
SFK072,2,internal_microbiome,rib,10/26/2019,2,Fall,7/6/2020,7/7/2020,7/7/2020,42.5,8.5,2.4,17.6,7/14/2020,7/13/2020,8/14/2020
SFK073,2,internal_microbiome,rib,7/26/2019,2,Summer,7/6/2020,7/7/2020,7/7/2020,32.6,6.52,1.5,8.5,7/14/2020,7/15/2020,8/14/2020
SFK074,4,internal_microbiome,rib,1/24/2020,2,Winter,7/6/2020,7/7/2020,7/7/2020,26.2,5.24,1.9,8.1,7/14/2020,7/15/2020,8/14/2020
SFK075,3,external_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/7/2020,7/7/2020,23.8,4.76,2.1,7.9,7/14/2020,7/15/2020,8/14/2020
SFK076,0,positive_control,buccal,7/7/2020,0,0,0,7/7/2020,7/7/2020,24.5,4.9,2,8,7/14/2020,7/15/2020,8/14/2020
SFK077,0,negative_control,extraction_neg_con,7/7/2020,0,0,0,7/7/2020,7/7/2020,0,0,10,0,7/14/2020,7/15/2020,8/14/2020
SFK078,3,external_microbiome,rib,7/26/2019,2,Summer,7/1/2020,7/3/2020,7/7/2020,34.6,6.92,1.4,8.6,7/14/2020,7/15/2020,8/14/2020
SFK079,3,external_microbiome,scapula,8/20/2018,1,Summer,7/10/2020,7/11/2020,7/11/2020,33.3,6.66,1.5,8.5,7/14/2020,7/15/2020,8/14/2020
SFK080,2,external_microbiome,rib,10/25/2018,1,Fall,7/10/2020,7/11/2020,7/11/2020,33.3,6.66,1.5,8.5,7/14/2020,7/15/2020,8/14/2020
SFK081,4,external_microbiome,rib,10/26/2019,2,Fall,7/10/2020,7/11/2020,7/11/2020,32.2,6.44,1.6,8.4,7/14/2020,7/15/2020,8/14/2020
SFK082,2,external_microbiome,rib,1/24/2020,2,Winter,7/10/2020,7/11/2020,7/11/2020,71.2,14.2,1.4,18.6,7/14/2020,7/13/2020,NA
SFK083,3,internal_microbiome,scapula,8/20/2018,1,Summer,7/10/2020,7/11/2020,7/11/2020,2.87,0.574,10,1,7/14/2020,7/15/2020,8/14/2020
SFK084,2,internal_microbiome,rib,10/25/2018,1,Fall,7/10/2020,7/11/2020,7/11/2020,79.1,15.8,1.3,18.7,7/14/2020,7/13/2020,8/14/2020
SFK085,4,internal_microbiome,rib,10/26/2019,2,Fall,7/10/2020,7/11/2020,7/11/2020,11.9,2.38,4.2,5.8,7/14/2020,7/15/2020,8/14/2020
SFK086,2,internal_microbiome,rib,1/24/2020,2,Winter,7/10/2020,7/11/2020,7/11/2020,34.3,6.86,1.5,8.5,7/14/2020,7/15/2020,8/14/2020
SFK087,0,positive_control,buccal,7/7/2020,0,0,0,7/11/2020,7/11/2020,45.5,9.1,1.1,8.9,7/14/2020,7/15/2020,8/14/2020
SFK088,0,negative_control,extraction_neg_con,7/11/2020,0,0,0,7/11/2020,7/11/2020,0,0,10,0,7/14/2020,7/15/2020,8/14/2020
SFK089,1,external_microbiome,vertebrate,1/22/2019,1,Winter,6/2/2020,7/11/2020,7/11/2020,59.2,11.8,1.7,18.3,7/14/2020,7/13/2020,8/14/2020
SFK090,1,external_microbiome,rib,7/26/2019,2,Summer,6/2/2020,7/11/2020,7/11/2020,64.8,13,1.5,18.5,7/14/2020,7/13/2020,8/14/2020
SFK091,3,external_microbiome,leg_bone,4/23/2019,1,Spring,6/22/2020,7/13/2020,7/13/2020,144,28.8,1.7,48.3,7/14/2020,7/13/2020,8/14/2020
SFK092,4,external_microbiome,rib,7/26/2019,2,Summer,6/22/2020,7/13/2020,7/13/2020,100,20,1,19,7/14/2020,7/13/2020,8/14/2020
SFK093,4,external_microbiome,rib,4/23/2019,1,Spring,6/24/2020,7/13/2020,7/13/2020,32.2,6.44,1.6,8.4,7/14/2020,7/15/2020,8/14/2020
SFK094,5,external_microbiome,rib,7/26/2019,2,Summer,6/24/2020,7/13/2020,7/13/2020,85.2,17,1.2,18.8,7/14/2020,7/13/2020,8/14/2020
SFK095,3,external_microbiome,vertebrate,1/24/2020,2,Winter,6/24/2020,7/13/2020,7/13/2020,48.8,9.76,1,9,7/14/2020,7/15/2020,8/14/2020
SFK096,5,external_microbiome,rib,1/24/2020,2,Winter,6/27/2020,7/13/2020,7/13/2020,69.6,13.9,1.4,18.6,7/14/2020,7/13/2020,8/14/2020
SFK097,3,external_microbiome,rib,10/26/2019,2,Fall,7/1/2020,7/13/2020,7/13/2020,53.3,10.7,0.9,9.1,7/14/2020,7/15/2020,8/14/2020
SFK098,2,external_microbiome,rib,10/26/2019,2,Fall,7/6/2020,7/13/2020,7/13/2020,38.7,7.74,1.3,8.7,7/14/2020,7/15/2020,8/14/2020
SFK099,2,external_microbiome,rib,7/26/2019,2,Summer,7/6/2020,7/13/2020,7/13/2020,65.1,13,1.5,18.5,7/14/2020,7/13/2020,8/14/2020
SFK100,2,external_microbiome,rib,1/24/2020,2,Winter,7/10/2020,7/13/2020,7/13/2020,59.2,11.8,1.7,18.3,7/14/2020,7/13/2020,8/14/2020
SFK101,0,positive_control,pcr_positive (SFK001 sample from EN sample set 11/13/2019),7/14/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/14/2020,NA,NA
SFK102,0,negative_control,pcr_negative,7/14/2020,0,0,0,NA,NA,NA,NA,NA,NA,7/14/2020,NA,NA
